Simulation_ID,S0,K,T,r,sigma_v,Up-and-In_Call,Up-and-Out_Call,European_Lookback_Call,Asian_Call,Double_Barrier_Call,Delta,Gamma,Theta,Vega,Rho
1,121.964658,70.165059,0.304960,0.047503,0.189627,53.605062,0.000000,53.715512,52.694307,0.000000,1.000000,0.000000,-3.285123,0.000010,21.089773
2,56.534740,96.415041,1.467486,0.025371,0.236381,0.000000,0.000000,0.000000,0.000000,0.000000,0.001933,0.000336,-0.023638,0.303512,0.144851
3,100.133278,126.495829,0.721212,0.048301,0.297574,0.076644,0.000000,0.126798,0.000000,0.000000,0.026716,0.003287,-0.611682,3.955699,1.786208
4,89.093920,90.841394,0.521193,0.047434,0.231885,0.000000,0.709144,0.711473,0.178155,0.000000,0.999551,0.000331,-4.209962,0.027640,46.164324
5,53.803365,80.536369,0.180230,0.044965,0.282486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000006,-0.000572,0.000810,0.000084
6,107.570006,92.380298,0.681832,0.041072,0.294652,12.875863,5.390355,18.306130,16.745628,5.390355,0.999807,0.000011,-3.693688,0.024315,61.232114
7,106.240244,80.973807,0.838798,0.043135,0.168953,15.305921,13.766754,29.141925,27.143422,13.766754,0.999891,0.000006,-3.371479,0.018192,65.495858
8,85.554576,129.222249,1.292325,0.023576,0.216357,0.000000,0.000000,0.000000,0.000000,0.000000,0.004320,0.000595,-0.071763,0.936941,0.439466
9,148.689486,79.670877,1.319817,0.035537,0.233109,76.314468,0.000000,76.455514,72.724557,0.000000,0.999978,0.000001,-2.702448,0.008860,100.328125
10,84.586808,81.440297,0.726578,0.028929,0.144837,0.000000,4.900578,4.959188,4.004182,0.000000,0.999635,0.000014,-2.312641,0.027100,57.913841
11,81.511290,73.035495,0.718262,0.021978,0.167450,0.000000,9.763536,9.975461,9.117603,0.000000,0.999722,0.000015,-1.584769,0.023190,51.617406
12,77.031915,112.341455,0.866571,0.021462,0.208680,0.000000,0.000000,0.000000,0.000000,0.000000,0.003998,0.000755,-0.079470,0.685662,0.249215
13,55.735968,72.837857,0.297938,0.027607,0.255596,0.000000,0.000000,0.002163,0.000000,0.000000,0.003366,0.001428,-0.097284,0.266742,0.053716
14,68.786910,118.818193,1.770098,0.049804,0.125764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000935,0.000170,-0.012675,0.204135,0.101140
15,119.257295,92.057670,0.479842,0.026385,0.264581,28.735286,0.000000,28.969170,27.976847,0.000000,0.999884,0.000006,-2.404094,0.016094,43.609915
16,86.439416,81.000146,0.436040,0.019987,0.291011,0.000000,6.165129,6.579163,5.789980,0.000000,0.999694,0.000023,-1.610376,0.020013,34.999879
17,109.749849,121.285535,1.871679,0.014771,0.262782,1.278836,0.000000,1.687019,0.625002,0.000000,0.091398,0.011768,-0.529152,17.351284,17.324192
18,95.644129,72.432117,0.527244,0.041089,0.140564,0.000000,25.237545,25.278520,24.195036,25.227168,0.999911,0.000007,-2.915549,0.011147,37.365913
19,51.166501,85.545615,1.432324,0.037169,0.195589,0.000768,0.000000,0.028600,0.000000,0.000000,0.001648,0.000389,-0.018291,0.245693,0.110735
20,110.615786,107.973518,1.905580,0.024070,0.251507,7.850743,0.000000,7.937112,5.267783,0.000000,0.999656,0.000006,-2.486941,0.056175,196.418003
21,129.881381,101.672793,1.377213,0.044125,0.112463,36.479002,0.000000,36.479002,32.325713,0.000000,0.999819,0.000005,-4.225967,0.040107,131.727104
22,135.112568,87.429965,0.638249,0.039186,0.245181,50.993673,0.000000,51.073285,49.309072,0.000000,0.999979,0.000002,-3.342580,0.005395,54.421830
23,61.100147,117.566066,0.299057,0.039011,0.129793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000003,0.000000
24,135.891832,105.738395,0.751483,0.020923,0.150632,32.250389,0.000000,32.451639,31.185119,0.000000,0.999851,0.000006,-2.183686,0.027392,78.203013
25,95.793408,101.110897,0.666668,0.031051,0.184575,1.179375,0.399968,2.489915,0.733318,0.328756,0.198449,0.018908,-2.125960,14.956843,11.670684
26,89.861709,82.820108,1.980851,0.014842,0.179783,0.000000,9.766726,9.863419,8.401163,0.000000,0.999682,0.000008,-1.197209,0.045101,159.218576
27,56.850350,107.970723,0.287031,0.044591,0.120909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000002,0.000000
28,148.470468,100.831536,0.456103,0.018488,0.109096,48.977655,0.000000,49.557020,48.378258,0.000000,0.999978,0.000002,-1.850173,0.005263,45.601825
29,66.251855,106.115021,1.482737,0.011460,0.159753,0.000000,0.000000,0.000000,0.000000,0.000000,0.001460,0.000273,-0.018049,0.285554,0.130435
30,86.316290,103.566610,1.317079,0.020010,0.289908,0.110475,0.058396,0.240548,0.032000,0.000000,0.040948,0.005368,-0.377823,6.178833,4.261618
31,80.031146,119.130469,0.983197,0.030675,0.219833,0.000000,0.000000,0.004955,0.000000,0.000000,0.004312,0.000702,-0.084562,0.787012,0.314824
32,92.222225,92.198302,1.529846,0.045587,0.115209,0.068895,6.639295,6.724885,3.314159,6.467592,0.999648,0.000009,-3.922837,0.042328,131.478106
33,136.705963,99.461216,0.922104,0.037901,0.292780,42.153289,0.000000,42.174064,39.687170,0.000000,0.999870,0.000004,-3.645306,0.027760,88.543563
34,59.169415,75.703670,1.669542,0.035239,0.258514,0.000000,0.121766,0.135252,0.018511,0.000000,0.027557,0.005079,-0.183623,3.371443,2.475609
35,110.000681,79.443652,1.832352,0.020145,0.194111,34.786329,0.000000,34.829632,32.691086,0.000000,0.999829,0.000004,-1.545894,0.037874,140.246106
36,126.702531,105.553099,0.985136,0.046548,0.101277,27.004596,0.000000,27.030424,24.029826,0.000000,0.999790,0.000006,-4.698382,0.036292,99.290630
37,93.842775,93.092939,0.524206,0.025552,0.236477,0.038284,2.075764,2.238716,1.528213,2.075764,0.999582,0.000018,-2.353778,0.026526,48.126119
38,99.791490,112.495118,1.181261,0.032343,0.293474,0.775422,0.000000,1.035540,0.198175,0.000000,0.089577,0.011374,-0.865671,12.342605,9.709330
39,57.190196,84.093916,0.660938,0.021690,0.215068,0.000000,0.000000,0.000000,0.000000,0.000000,0.002026,0.000617,-0.038699,0.249672,0.072519
40,117.390984,114.269579,1.669272,0.015874,0.285017,6.170489,0.000000,6.343227,4.614431,0.000000,0.999640,0.000006,-1.772147,0.056762,185.655329
41,125.586540,85.641440,1.757821,0.015027,0.128699,43.397365,0.000000,43.553950,41.714748,0.000000,0.999864,0.000004,-1.256816,0.036417,146.578434
42,99.760041,75.757711,1.316666,0.038848,0.223972,0.029915,29.127687,29.175333,26.521481,29.127687,0.999858,0.000006,-2.798769,0.025725,94.750935
43,105.657029,85.004265,1.747799,0.030473,0.173902,21.058156,5.374444,26.442794,23.488052,5.374444,0.999793,0.000006,-2.459099,0.039916,140.813476
44,54.251817,113.926954,0.445973,0.012601,0.177556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,0.000032,0.000005
45,109.266788,120.595802,0.139720,0.029458,0.148772,0.148965,0.000000,0.274364,0.004582,0.000000,0.046368,0.010793,-2.415828,3.370128,0.685027
46,50.817989,76.927330,1.088584,0.047903,0.163848,0.000000,0.000000,0.000000,0.000000,0.000000,0.003730,0.001066,-0.044734,0.474592,0.192586
47,86.936750,106.300621,0.685778,0.033525,0.154977,0.139838,0.017579,0.235103,0.010801,0.000000,0.036582,0.006129,-0.637523,4.754535,2.052273
48,132.212291,106.251851,0.839793,0.019436,0.189726,28.191988,0.000000,28.417119,27.114260,0.000000,0.999821,0.000006,-2.037445,0.031689,87.761184
49,84.801026,120.893124,0.580760,0.023747,0.143412,0.000000,0.000000,0.000000,0.000000,0.000000,0.001970,0.000477,-0.058257,0.350541,0.092539
50,69.728335,103.757685,1.213429,0.027812,0.124587,0.000000,0.000000,0.000000,0.000000,0.000000,0.002871,0.000658,-0.039762,0.549652,0.226238
51,124.085736,125.467286,1.068073,0.011604,0.222536,1.027098,0.000000,1.093980,0.671439,0.000000,0.679860,1.011246,-1.042822,45.779397,89.831996
52,116.002800,120.457007,0.611910,0.044727,0.250462,1.928440,0.000000,3.119320,0.937415,0.000000,0.238391,0.018622,-3.179674,18.021642,15.557547
53,99.732287,103.128750,1.625938,0.020366,0.220703,0.000000,0.931434,0.973460,0.309097,0.931434,0.445032,1.474650,-0.940179,50.239159,71.988801
54,55.821918,71.821895,0.411162,0.012692,0.161977,0.000000,0.001561,0.004947,0.000000,0.000000,0.005970,0.002367,-0.118637,0.529196,0.131398
55,135.690324,125.360812,1.192245,0.024450,0.216420,14.426240,0.000000,14.460783,12.417796,0.000000,0.999680,0.000006,-2.984145,0.052973,145.097111
56,126.402021,83.566330,1.491399,0.015938,0.257961,45.868348,0.000000,46.104092,44.321964,0.000000,0.999890,0.000003,-1.303819,0.029104,121.676993
57,60.152861,83.431820,1.109580,0.023086,0.177870,0.000000,0.010451,0.012522,0.000000,0.000000,0.008937,0.002009,-0.098751,1.217931,0.555029
58,87.805463,127.387605,0.905670,0.048310,0.214894,0.000000,0.000000,0.000000,0.000000,0.000000,0.006805,0.001029,-0.154292,1.257905,0.503273
59,81.539208,115.677724,1.805335,0.032980,0.152842,0.019594,0.000000,0.022200,0.000000,0.000000,0.008682,0.001406,-0.091079,1.980581,1.180496
60,121.513111,82.497548,0.547691,0.046091,0.299570,42.113500,0.000000,42.154900,40.571828,0.000000,0.999980,0.000002,-3.708655,0.004371,44.055416
61,117.515261,95.116881,1.830682,0.039565,0.120647,31.376779,0.000000,31.378341,26.856522,0.000000,0.999790,0.000005,-3.503785,0.045799,161.899850
62,116.563307,119.704262,0.597114,0.029327,0.200249,2.235610,0.000000,3.827427,1.201416,0.000000,0.243606,0.016584,-2.945043,17.940262,15.545239
63,129.935840,99.002180,0.762123,0.047071,0.222521,35.690226,0.000000,35.702753,33.287729,0.000000,0.999892,0.000005,-4.499615,0.021059,72.780757
